condition,task,missions,success_rate,success_rate_se,collision_rate,collision_rate_se,viability,viability_se,payload_rmse,payload_rmse_se,formation_rmse,formation_rmse_se,energy,energy_se,final_gap,final_gap_se,architecture_score,architecture_score_se,role_accuracy,role_accuracy_se,blanket_accuracy,blanket_accuracy_se,exact_partition,exact_partition_se,agreements,agreements_se,causal_changes,causal_changes_se,synergy,synergy_se
fixed_team,repair,20,0.0,0.0,0.0,0.0,0.8245084255241352,0.007407928224245835,0.19800251799256421,0.007052415116559617,0.13125480484156518,0.003960128944695355,10.083465,0.4863935808730139,8.95716277162008,0.3988116973384866,0.2742660785148857,0.014512924094776771,0.6394021739130434,0.025329918452377597,0.7415760869565218,0.016888491743427655,0.4,0.11239029738980327,0.0,0.0,0.0,0.0,0.14303050213087593,0.012899296867009353
fixed_team,reconfigure,20,0.0,0.0,0.0,0.0,0.7696097576099276,0.008765649872186036,0.1800710630922589,0.009289111606127876,0.18605518523510367,0.0078110153957202276,8.17173,0.48825258577413716,0.0,0.0,0.4834740592754909,0.007042443286465002,0.7002717391304347,0.01734649682269303,0.7872282608695654,0.011050587868506276,0.6,0.11239029738980327,0.0,0.0,0.0,0.0,0.6492077720845921,0.008769833199856428
communication_only,assemble,20,0.0,0.0,0.0,0.0,0.7288368544059497,0.020383062276610842,0.19961117973774511,0.03386329066127734,0.13011950523596044,0.004718950727590716,19.286032499999994,0.8731820148003057,12.814568252998388,1.12536432487276,0.19486124858704712,0.023106099703891644,0.6021059782608696,0.022136026446631304,0.7052989130434782,0.017183436434550246,0.4,0.11239029738980327,0.0,0.0,0.0,0.0,0.0771976762623006,0.024291967604827668
communication_only,repair,20,0.0,0.0,0.0,0.0,0.7922794327628314,0.00543190979667292,0.10657990728166947,0.004230053280170789,0.11440391779745476,0.0022289367439352935,15.931124999999998,0.4605029620275901,8.95716277162008,0.3988116973384866,0.2742660785148857,0.014512924094776771,0.6454483695652173,0.025413989328097915,0.7411684782608697,0.019790641168250783,0.3,0.10513149660756935,0.0,0.0,0.0,0.0,0.11080150936957198,0.012169247912773714
communication_only,reconfigure,20,0.0,0.0,0.0,0.0,0.7208382700421013,0.007672525072243091,0.11784530713584385,0.0066930717525379045,0.18783586232802554,0.009580063559717581,15.172053749999998,0.5108428441719569,0.0,0.0,0.4834740592754909,0.007042443286465002,0.7039402173913043,0.016812755306120537,0.7827445652173913,0.013808934702994977,0.55,0.11413288653790231,0.0,0.0,0.0,0.0,0.6004362845167657,0.008057695995503517
random_joint,assemble,20,0.6,0.11239029738980327,0.0,0.0,0.8461691853865835,0.011046433872073177,0.1772845061384352,0.008781053291025772,0.13205816258051623,0.004263581366282179,8.612178750000002,0.8138461310695192,4.535192652872751,1.3862689393028893,0.5768167878598567,0.0683294920920771,0.5851902173913044,0.02176126501142621,0.7002717391304347,0.017363012420899937,0.5,0.11470786693528086,10.0,0.0,0.9,0.06882472016116853,0.1945300072429345,0.01538072605890499
random_joint,repair,20,0.75,0.09933992677987828,0.0,0.0,0.8488196299273874,0.007041083001900525,0.17876567347867506,0.005965214364418126,0.12755534544632635,0.0035095416968116506,8.321670000000003,0.4748143265038338,2.207878457707129,0.899195423868137,0.684140794974853,0.0550171311997596,0.671399456521739,0.022994594279522905,0.7645380434782609,0.01559188362032848,0.35,0.1094243309804831,10.0,0.0,0.75,0.09933992677987828,0.167341706534128,0.012032455920308738
random_joint,reconfigure,20,0.0,0.0,0.0,0.0,0.7419881718553666,0.012980327185677563,0.2082203321796095,0.015195038865213808,0.22588896426677924,0.00958873825789508,10.027237500000002,0.6061837467528325,0.0,0.0,0.5043458971932612,0.01662013509487559,0.639266304347826,0.017956953349667338,0.7396739130434782,0.014732329269970647,0.4,0.11239029738980327,1.0,0.0,0.8,0.0917662935482247,0.6542182130349345,0.01023217419870066
oracle_collective,assemble,20,1.0,0.0,0.0,0.0,0.8727127887755508,0.005634370639465798,0.15768402375001073,0.005042781160622543,0.1243818991813477,0.0039425636177976165,6.644216250000002,0.3974663800135003,0.0,0.0,0.8182280011531043,0.005871327927084479,0.6284646739130434,0.02347883588311612,0.7324728260869564,0.017036930299147438,0.55,0.11413288653790231,1.4,0.11239029738980327,1.4,0.11239029738980327,0.22107361063190165,0.010299398608706824
oracle_collective,repair,20,1.0,0.0,0.0,0.0,0.8596317370761068,0.006648117154544184,0.17216908973433395,0.006116620216131093,0.12142957885961536,0.003005644231755186,7.5157425000000035,0.4217117302275488,0.0,0.0,0.8191383373970217,0.00834852721176082,0.660258152173913,0.02064649817942025,0.7625000000000001,0.01343363145187027,0.55,0.11413288653790231,1.0,0.0,1.0,0.0,0.17815381368284744,0.012354560832163608
oracle_collective,reconfigure,20,1.0,0.0,0.0,0.0,0.8317066752202992,0.009419319402453946,0.18902579889634927,0.010153572447796232,0.2047391716197605,0.010370881521926601,8.687148750000002,0.48366335332568494,0.0,0.0,0.8568485388203694,0.0075202890422249565,0.6390624999999999,0.015419935507339754,0.7331521739130434,0.01199902731689477,0.5,0.11470786693528086,1.0,0.0,1.0,0.0,0.7285049733414402,0.009401817072906014
