condition,task,seed,success,collision,viability,payload_rmse,formation_rmse,energy,final_gap,architecture_score,role_accuracy,blanket_accuracy,exact_partition,agreements,causal_changes,synergy
collective_constitutive,repair,2006,1,0,0.9085288928838009,0.1372238471453247,0.1259662267595012,5.247900000000002,0.0,0.9059661197819433,0.779891304347826,0.8179347826086957,0.0,8,1,0.09939731072555258
collective_constitutive,repair,2007,1,0,0.845879250908201,0.1908334088651294,0.12565179871472223,8.246700000000004,0.0,0.8144249024308912,0.6453804347826086,0.7608695652173914,1.0,7,1,0.11697174890157924
collective_constitutive,repair,2008,1,0,0.8286357802603,0.19377283398424439,0.10913223661831455,9.558675000000001,0.0,0.7937836262478725,0.6182065217391305,0.7255434782608695,1.0,8,1,0.15073009975004314
collective_constitutive,repair,2009,1,0,0.8528547200475887,0.16540088848303638,0.1227010143629456,7.497000000000004,0.0,0.778586233825076,0.7554347826086957,0.779891304347826,1.0,6,1,0.2622888060175703
collective_constitutive,repair,2010,1,0,0.8358191546653785,0.16397999668970045,0.16469224356886378,8.246700000000004,0.0,0.7611593340176531,0.7717391304347826,0.8206521739130435,1.0,7,1,0.209302009301503
collective_constitutive,repair,2011,1,0,0.8297455161648994,0.18882549567629917,0.14950136198045283,9.371250000000005,0.0,0.8023320395899256,0.6657608695652174,0.75,0.0,5,1,0.11890095540592571
collective_constitutive,repair,2012,1,0,0.7996812814568877,0.22107647203028066,0.11183851711821244,11.058075000000002,0.0,0.7741163528533732,0.6494565217391305,0.7527173913043478,1.0,8,1,0.14645210224159133
collective_constitutive,repair,2013,1,0,0.8703525723446714,0.16634605412603762,0.1241553575677818,6.5598750000000035,0.0,0.8119266566731991,0.4701086956521739,0.6766304347826086,1.0,9,1,0.20377231111048344
collective_constitutive,repair,2014,1,0,0.8929644386613834,0.13818018431761447,0.1406942534210896,5.435325000000002,0.0,0.8352776300414317,0.7160326086956522,0.779891304347826,1.0,10,1,0.2235892679286552
collective_constitutive,repair,2015,1,0,0.8268104666005612,0.22233898443578207,0.10823292157007068,10.308375000000003,0.0,0.873579582173697,0.5529891304347826,0.7146739130434783,0.0,10,1,0.10269570785197102
collective_constitutive,repair,2016,1,0,0.7791731867197904,0.24356707849324766,0.13403037054087288,12.932325,0.0,0.8071749619829284,0.782608695652174,0.8342391304347826,0.0,7,1,0.1351524132718045
collective_constitutive,repair,2017,1,0,0.8816740009594181,0.1703362206531977,0.12336257494259573,6.5598750000000035,0.0,0.8769970139196885,0.7703804347826086,0.8858695652173914,1.0,9,1,0.11675602386916839
collective_constitutive,repair,2018,1,0,0.8659779500164569,0.15280795785277532,0.1516493814130433,7.6844250000000045,0.0,0.8449253949407074,0.4633152173913043,0.6467391304347826,1.0,8,1,0.14829836914197614
collective_constitutive,repair,2019,0,0,0.7636373500686113,0.24385255432583366,0.1153246717142773,14.61914999999999,9.700837044993708,0.23781151884962937,0.8097826086956522,0.8641304347826086,1.0,4,0,0.08970963023871925
collective_constitutive,reconfigure,2000,1,0,0.7510132492275946,0.2670975490425028,0.3033733774162956,12.7449,0.0,0.855683985425953,0.6114130434782609,0.7146739130434783,0.0,1,1,0.6499982539803129
collective_constitutive,reconfigure,2001,1,0,0.8472945474938326,0.14693264725689947,0.22206050127262375,7.871850000000005,0.0,0.8321122382758598,0.6331521739130435,0.7391304347826086,1.0,1,1,0.7494468657025898
collective_constitutive,reconfigure,2002,1,0,0.8396843863165566,0.1582819815939979,0.23389631198523064,8.621550000000003,0.0,0.9095126935205716,0.5081521739130435,0.6304347826086957,0.0,1,1,0.7275973942432672
collective_constitutive,reconfigure,2003,1,0,0.7784692297626112,0.22525690396857284,0.21784172478262878,11.995199999999993,0.0,0.8172155034705779,0.6725543478260869,0.75,1.0,1,1,0.6781539067476902
collective_constitutive,reconfigure,2004,1,0,0.7857539811013563,0.2649600964408226,0.24593238909634316,9.933525000000001,0.0,0.8311316480211592,0.5801630434782609,0.6793478260869565,0.0,1,1,0.6906066886801857
collective_constitutive,reconfigure,2005,1,0,0.852728759955539,0.18875244202649977,0.2000361751521774,7.497000000000004,0.0,0.8680913564041892,0.6630434782608695,0.7309782608695652,0.0,1,1,0.7468020146710992
collective_constitutive,reconfigure,2006,1,0,0.8489954060499446,0.1617734419101799,0.20372233721585523,7.6844250000000045,0.0,0.8732416354013499,0.6589673913043478,0.7309782608695652,1.0,1,1,0.737515915860379
collective_constitutive,reconfigure,2007,1,0,0.8134490292007737,0.195405921794023,0.23913746568806604,9.933525000000003,0.0,0.8966553696425594,0.6100543478260869,0.720108695652174,0.0,1,1,0.7019791761510863
collective_constitutive,reconfigure,2008,1,0,0.8647240067794563,0.14864187830848472,0.18981391622907987,6.747300000000004,0.0,0.8195114167858294,0.5067934782608695,0.6385869565217391,1.0,1,1,0.7590203677345021
collective_constitutive,reconfigure,2009,1,0,0.8615794064407737,0.15511596114757709,0.15304086095128544,8.059275000000003,0.0,0.8828531866049737,0.6616847826086957,0.7391304347826086,0.0,1,1,0.7491569077918069
collective_constitutive,reconfigure,2010,1,0,0.9241532865976837,0.10208277486020467,0.1428918413588597,3.3736500000000005,0.0,0.8486562502006476,0.6630434782608695,0.75,0.0,1,1,0.8288581488836123
