condition,task,seed,success,collision,viability,mean_gap,final_gap,architecture_score,boundary_precision,role_accuracy,blanket_accuracy,exact_partition,causal_changes,recovery_delay
factorized,construct,1005,1,0,0.9692108227682916,7.654455448651521,0.0,0.886417070209635,0.886417070209635,0.6875,0.7530487804878049,1.0,3,38.0
factorized,construct,1006,1,0,0.9516534440713587,6.005367414488158,0.0,0.8276161893321864,0.8276161893321864,0.5320121951219512,0.625,1.0,3,38.0
factorized,construct,1007,0,0,0.8825761313294642,16.265520855640265,9.658897508561438,0.23952003618442386,0.8011107965703446,0.551829268292683,0.6676829268292683,0.0,2,nan
factorized,construct,1008,1,0,0.8924084471135842,9.433893806405155,0.0,0.7720732528848475,0.7720732528848475,0.6371951219512195,0.7225609756097561,1.0,3,52.0
factorized,construct,1009,0,0,0.947272210839067,13.19727234717895,7.589461587202395,0.319180303231611,0.8242211298736655,0.6310975609756098,0.7042682926829268,0.0,2,nan
factorized,construct,1010,1,0,0.9454394902464134,5.398566337194059,0.0,0.7856608532331412,0.7856608532331412,0.8033536585365854,0.8536585365853658,1.0,3,22.0
factorized,construct,1011,1,0,0.9478021299930278,8.269525416739949,0.0,0.8029287485276874,0.8029287485276874,0.6173780487804879,0.7713414634146342,1.0,3,46.0
factorized,construct,1012,0,0,0.9295615713920147,14.9482007002771,6.263621543638327,0.3503185182259697,0.7664699440963252,0.6463414634146342,0.7713414634146342,1.0,2,nan
factorized,construct,1013,0,0,0.910168313415956,12.579899884490354,7.492325587418704,0.33220681411048486,0.8475064140856863,0.7027439024390244,0.7530487804878049,1.0,2,nan
factorized,construct,1014,0,0,0.926711761106534,14.318095019318035,13.16020200992682,0.15010473313878608,0.777713747461121,0.5182926829268293,0.7042682926829268,1.0,1,nan
factorized,construct,1015,0,1,0.17485282290776835,23.903829454731788,17.083480800242235,0.09048958716047516,0.7656076904732816,0.34574468085106386,0.48936170212765956,0.0,1,nan
factorized,construct,1016,0,0,0.9226611991116486,18.561277027541898,14.501609044705713,0.1301967822236995,0.7977124115399797,0.7591463414634146,0.7987804878048781,0.0,1,nan
factorized,construct,1017,1,0,0.9540537993885635,13.15118381775991,0.0,0.8420950311595838,0.8420950311595838,0.5442073170731707,0.6402439024390244,0.0,3,72.0
factorized,construct,1018,0,0,0.5132718134407979,18.491662154804455,15.822041352485577,0.1007897494123545,0.7283573747953951,0.46646341463414637,0.649390243902439,1.0,1,nan
factorized,construct,1019,0,1,0.14553680772127836,26.466448635285346,26.466448635285346,0.030886912828856757,0.8444104069378292,0.3535714285714286,0.4928571428571429,0.0,0,nan
factorized,stabilize,1000,0,0,0.9655919133214461,3.961092253795217,6.496191296224157,0.37028475025250185,0.8340523890200957,0.788109756097561,0.8140243902439024,1.0,0,nan
factorized,stabilize,1001,0,0,0.9623236278922598,3.435416127498576,6.402366419429166,0.37052311092776985,0.8248583073290907,0.6814024390243902,0.7682926829268293,0.0,0,nan
factorized,stabilize,1002,0,0,0.9563551068893513,4.764100939592303,7.972577082583037,0.3015117719577822,0.8167893232796363,0.6341463414634146,0.725609756097561,1.0,0,nan
factorized,stabilize,1003,1,0,0.9554269871706911,0.0,0.0,0.7800337414449156,0.7800337414449156,0.7271341463414634,0.8140243902439024,0.0,1,0.0
factorized,stabilize,1004,0,0,0.9493678582551297,3.348248621132783,6.239917884838368,0.35850922112421163,0.7820698952921483,0.7652439024390244,0.8353658536585366,0.0,0,nan
factorized,stabilize,1005,0,0,0.9575439602814,4.343302192365005,7.268383260692456,0.3359064999164964,0.8332891949840595,0.7149390243902439,0.8109756097560976,0.0,0,nan
factorized,stabilize,1006,0,0,0.9561243738257607,3.6758094291665353,6.151354554931753,0.3718021047390683,0.8021383149935525,0.7667682926829268,0.8475609756097561,0.0,0,nan
factorized,stabilize,1007,0,0,0.9614000703661677,3.9443979039186803,7.187569513807372,0.3263847528258106,0.8015305585867272,0.5426829268292683,0.6707317073170732,0.0,0,nan
factorized,stabilize,1008,0,0,0.9195084406029562,5.458406083642872,9.730202149102512,0.21922755773850436,0.7398041843363452,0.7332317073170732,0.8109756097560976,0.0,0,nan
factorized,stabilize,1009,0,0,0.9478819404322604,8.026865795654967,11.967327186249223,0.17056611195394283,0.7613086597843719,0.6875,0.7896341463414634,1.0,0,nan
factorized,stabilize,1010,0,0,0.9490216395447899,5.517899559829161,9.626973700127474,0.24086254854897676,0.8023927051605955,0.7057926829268293,0.8140243902439024,1.0,0,nan
factorized,stabilize,1011,1,0,0.9680136650196228,0.9094493665981612,0.0,0.8222582000405102,0.8222582000405102,0.7652439024390244,0.823170731707317,1.0,1,8.0
factorized,stabilize,1012,0,0,0.9559744150476933,5.952145367436606,9.208979625090597,0.25019038783481096,0.7910369126682828,0.7682926829268293,0.8628048780487805,1.0,0,nan
factorized,stabilize,1013,1,0,0.9268418332035244,2.4475501428247917,0.0,0.7406387768678537,0.7406387768678537,0.7057926829268293,0.8079268292682927,1.0,1,17.0
factorized,stabilize,1014,0,0,0.9460392316056648,5.445278820679706,9.706801375994258,0.23207692204303357,0.7808780949480739,0.6844512195121951,0.7835365853658537,0.0,0,nan
factorized,stabilize,1015,0,0,0.9678683995205384,6.938771715237207,10.735458125461337,0.21685273246357267,0.829771811089161,0.8536585365853658,0.8841463414634146,0.0,0,nan
factorized,stabilize,1016,0,0,0.9577683233515052,4.466661699510721,7.792899135316575,0.30161854853790077,0.7989317530125958,0.7408536585365854,0.8170731707317073,1.0,0,nan
factorized,stabilize,1017,0,0,0.9521715923691451,5.197787082330319,9.471523127801916,0.24473369425122088,0.7995995566074698,0.6707317073170732,0.75,0.0,0,nan
factorized,stabilize,1018,0,0,0.9717461380998452,3.9741074290578946,7.084278460494509,0.3465936048545856,0.8402401413917691,0.7423780487804879,0.7987804878048781,0.0,0,nan
factorized,stabilize,1019,1,0,0.9515468662218408,4.106066192434753,0.0,0.8211884173689616,0.8211884173689616,0.7530487804878049,0.8079268292682927,1.0,1,31.0
factorized,transform,1000,0,0,0.8906397256041448,0.0,0.0,0.5350064433011353,0.5350064433011353,0.8033536585365854,0.8597560975609756,1.0,0,0.0
factorized,transform,1001,0,0,0.8927539837146693,0.0,0.0,0.5242138251329777,0.5242138251329777,0.788109756097561,0.8567073170731707,1.0,0,0.0
factorized,transform,1002,0,0,0.8544126595674328,0.0,0.0,0.4446881824488339,0.4446881824488339,0.8658536585365854,0.899390243902439,1.0,0,0.0
factorized,transform,1003,0,0,0.8766703895676518,0.0,0.0,0.5040240085156346,0.5040240085156346,0.8704268292682927,0.8871951219512195,1.0,0,0.0
factorized,transform,1004,0,0,0.8759657785837481,0.0,0.0,0.49679799807717095,0.49679799807717095,0.7667682926829268,0.8292682926829268,1.0,0,0.0
factorized,transform,1005,0,0,0.8558233157958496,0.0,0.0,0.47582255934047785,0.47582255934047785,0.7301829268292683,0.8414634146341463,1.0,0,0.0
factorized,transform,1006,0,0,0.850485537673252,0.0,0.0,0.4544041111250438,0.4544041111250438,0.6829268292682927,0.7774390243902439,1.0,0,0.0
factorized,transform,1007,0,0,0.8776840507586289,0.0,0.0,0.49949486854466413,0.49949486854466413,0.8079268292682927,0.850609756097561,0.0,0,0.0
factorized,transform,1008,0,0,0.8907173934669623,0.0,0.0,0.5296990010550076,0.5296990010550076,0.8094512195121951,0.8475609756097561,1.0,0,0.0
factorized,transform,1009,0,0,0.9059726617240638,0.0,0.0,0.5427333200840571,0.5427333200840571,0.6905487804878049,0.774390243902439,1.0,0,0.0
factorized,transform,1010,0,0,0.883036072476305,0.0,0.0,0.515157481141981,0.515157481141981,0.7942073170731707,0.8536585365853658,0.0,0,0.0
factorized,transform,1011,0,0,0.8501171928927121,0.0,0.0,0.48012642254564786,0.48012642254564786,0.7454268292682927,0.8140243902439024,1.0,0,0.0
